date_time,song_name,artists,duration,user_name
2023-02-11 09:46:29,"Vishal Chandrasekhar, Sai Vignesh - Kurumugil (lyrics) Sita Ramam (Tamil)",seventyskye,04:37,Vignaraj#6477
2023-02-11 09:46:32,"Paiya - En Kadhal Solla Video | Karthi, Tamannah | Yuvan Shankar Raja",SonyMusicSouthVEVO,05:46,Vignaraj#6477
2023-02-11 09:47:32,"Maragatha Naanayam | Nee Kavithaigala Song with Lyrics | Aadhi, Nikki Galrani | Dhibu Ninan Thomas",Think Music India,05:46,Vignaraj#6477
2023-02-11 09:47:41,Manithan - Aval Video | Udhayanidhi | Santhosh Narayanan,SonyMusicSouthVEVO,04:56,Vignaraj#6477
2023-02-11 09:47:43,"Oh My Kadavule - Kadhaippoma Lyric | Ashok Selvan, Ritika Singh | Leon James | Sid Sriram",Sony Music South,05:47,Vignaraj#6477
2023-02-11 09:47:46,"Vikram Vedha Songs | Yaanji Video Song | R. Madhavan, Vijay Sethupathi | Sam C.S | Anirudh",Think Music India,03:26,Vignaraj#6477
2023-02-11 09:47:48,Adiye Video Song | Bachelor | G.V. Prakash Kumar | Dhibu Ninan Thomas | Sathish | G Dilli Babu,Think Music India,05:37,Vignaraj#6477
2023-02-11 09:47:51,7UP Madras Gig -  Orasaadha | Vivek - Mervin,Sony Music India,04:15,Vignaraj#6477
2023-02-11 09:47:54,"96 Songs| Kaathalae Kaathalae Song | Vijay Sethupathi, Trisha | Govind Vasantha | C. Prem Kumar",Think Music India,03:15,Vignaraj#6477
2023-02-11 09:47:57,"Neeyum Naanum Anbe - Video Song | Imaikkaa Nodigal |  Vijay Sethupathi, Nayanthara | Hiphop Tamizha",Think Music India,04:13,Vignaraj#6477
2023-02-11 09:48:00,"Sivappu Manjal Pachai | Usure Video Song | Siddharth, G.V.Prakash Kumar | Sasi | Siddhu Kumar",Think Music India,04:00,Vignaraj#6477
2023-02-11 09:48:03,Pirai Thedum | Mayakkam Enna | Saindhavi | G.V.Prakash | Lyrics,Energy Reflux,06:33,Vignaraj#6477
2023-02-11 09:48:05,"Ispade Rajavum Idhaya Raniyum | Kannamma Video Song | Harish Kalyan, Shilpa Manjunath | Sam C.S",Think Music India,04:02,Vignaraj#6477
2023-02-11 09:48:08,"Kanave Nee Naan - Kannum Kannum Kollaiyadithaal | Dulquer S, Ritu V & Rakshan | Masala Coffee",Zee Music South,02:11,Vignaraj#6477
2023-02-11 09:48:11,Marappadhilai Nenje (Additional Song),Leon James - Topic,03:29,Vignaraj#6477
2023-02-11 09:48:14,"Madharasapattinam - Pookkal Pookkum Video | Aarya, Amy Jackson",SonyMusicSouthVEVO,06:25,Vignaraj#6477
2023-02-11 09:48:17,"Meesaya Murukku Songs | Sakkarakatti Video Song | Hiphop Tamizha, Aathmika, Vivek",Think Music India,03:08,Vignaraj#6477
2023-02-11 09:48:19,"Thooriga | HDR | Guitar Kambi Mele Nindru | Suriya, Prayaga Martin |Gautham Menon |Karthik |Navarasa",Think Music India,04:50,Vignaraj#6477
2023-02-11 09:48:22,Vaisagh - Kaaka Kadha Ft. Pawan Alex & Ann Sheetal | Pradeep Deva | Think Indie,Think Music India,06:34,Vignaraj#6477
2023-02-11 09:48:25,"Vaamanan - Oru Devathai Video | Jai, Priya Anand | Yuvan",SonyMusicSouthVEVO,05:45,Vignaraj#6477
2023-02-11 09:48:28,Kurumugil | Sai Vignesh | Sita Ramam,Sai Vignesh R,01:14,Vignaraj#6477
2023-02-11 09:48:31,"Paiya - En Kadhal Solla Video | Karthi, Tamannah | Yuvan Shankar Raja",SonyMusicSouthVEVO,05:46,Vignaraj#6477
2023-02-11 10:00:43,"Maragatha Naanayam | Nee Kavithaigala Song with Lyrics | Aadhi, Nikki Galrani | Dhibu Ninan Thomas",Think Music India,05:46,Vignaraj#6477
2023-02-11 10:00:52,Manithan - Aval Video | Udhayanidhi | Santhosh Narayanan,SonyMusicSouthVEVO,04:56,Vignaraj#6477
2023-02-11 10:00:54,"Oh My Kadavule - Kadhaippoma Lyric | Ashok Selvan, Ritika Singh | Leon James | Sid Sriram",Sony Music South,05:47,Vignaraj#6477
2023-02-11 10:00:57,"Vikram Vedha Songs | Yaanji Video Song | R. Madhavan, Vijay Sethupathi | Sam C.S | Anirudh",Think Music India,03:26,Vignaraj#6477
2023-02-11 10:01:00,Adiye Video Song | Bachelor | G.V. Prakash Kumar | Dhibu Ninan Thomas | Sathish | G Dilli Babu,Think Music India,05:37,Vignaraj#6477
2023-02-11 10:01:02,7UP Madras Gig -  Orasaadha | Vivek - Mervin,Sony Music India,04:15,Vignaraj#6477
2023-02-11 10:01:05,"96 Songs| Kaathalae Kaathalae Song | Vijay Sethupathi, Trisha | Govind Vasantha | C. Prem Kumar",Think Music India,03:15,Vignaraj#6477
2023-02-11 10:01:07,"Neeyum Naanum Anbe - Video Song | Imaikkaa Nodigal |  Vijay Sethupathi, Nayanthara | Hiphop Tamizha",Think Music India,04:13,Vignaraj#6477
2023-02-11 10:01:10,"Sivappu Manjal Pachai | Usure Video Song | Siddharth, G.V.Prakash Kumar | Sasi | Siddhu Kumar",Think Music India,04:00,Vignaraj#6477
2023-02-11 10:01:13,Pirai Thedum | Mayakkam Enna | Saindhavi | G.V.Prakash | Lyrics,Energy Reflux,06:33,Vignaraj#6477
2023-02-11 10:01:16,"Ispade Rajavum Idhaya Raniyum | Kannamma Video Song | Harish Kalyan, Shilpa Manjunath | Sam C.S",Think Music India,04:02,Vignaraj#6477
